Model,CV_R2,CV_RMSE,CV_MAE,Test_R2,Test_RMSE,Test_MAE
Baseline (2048 features),0.5622064620657652,0.9183408442636953,0.6076201543841314,0.6523011030761879,0.8069558522642024,0.5686658235705551
TopK (512 features),0.5342046674129876,0.9452070875467228,0.6271106719644355,0.6140728829423375,0.8501601941097826,0.6063885951898831
