Compound,Docking_Score (kcal/mol),Active_Probability,In_AD,Similarity_to_Training,SMILES
(S)-lupinifolin,-10.741,0.7008496792834251,True,0.6461538461538462,COc1ccc(cc1)[C@@H]1CC(=O)c2c(O1)c(CC=C(C)C)c1c(c2O)C=CC(O1)(C)C
postratol,-10.469,0.616364581856046,True,0.6785714285714286,CC(=CCc1c2O[C@@H](CC(=O)c2cc(c1O)CC=C(C)C)c1ccc(c(c1)CC=C(C)C)O)C
lupinifolin,-10.269,0.7043177085980997,True,0.5147058823529411,CC(=CCc1c2OC(CC(=O)c2c(c2c1OC(C)(C)C=C2)O)c1ccc(cc1)O)C
sigmoidin,-10.056,0.789653237344124,True,0.6507936507936508,CC(=CCc1cc(cc2c1OC(C)(C)C=C2)[C@@H]1CC(=O)c2c(O1)cc(cc2O)O)C
abyssinin,-10.006,0.6750768112925032,True,0.631578947368421,CC(=CCc1c(cc(c(c1CC=C(C)C)O)O)[C@@H]1CC(=O)c2c(O1)cc(cc2O)O)C
6-hydroxystigmast-4-en-3-one,-9.965,0.545258845930396,True,0.5409836065573771,CC[C@@H](C(C)C)CC[C@H]([C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CC(C2=CC(=O)CC[C@]12C)O)C
obovatin,-9.876,0.6427820086685,True,0.5283018867924528,O=C1CC(Oc2c1c(O)cc1c2C=CC(O1)(C)C)c1ccccc1
"5,7-dihydroxy-4'-methoxy-3′,5′-di-(3-methylbut-2-enyl)flavanone",-9.751,0.6962134246116947,True,0.7735849056603774,COc1c(CC=C(C)C)cc(cc1CC=C(C)C)[C@@H]1CC(=O)c2c(O1)cc(cc2O)O
abyssinone,-9.717,0.7009855629182268,True,0.6122448979591837,Oc1ccc2c(c1)O[C@@H](CC2=O)c1ccc2c(c1)C=CC(O2)(C)C
isochamanetin,-9.666,0.661401481419674,True,0.6122448979591837,O=C1C[C@H](Oc2c1c(O)c(c(c2)O)Cc1ccccc1O)c1ccccc1
erysubin,-9.636,0.5763054757572684,True,0.5423728813559322,CC(=CCc1cc(ccc1O)c1coc2c(c1=O)ccc(c2CC=C(C)C)O)C
burttinone,-9.449,0.7053358685006805,True,0.6307692307692307,COc1c(CC=C(C)C)cc(cc1/C=C/C(O)(C)C)[C@@H]1CC(=O)c2c(O1)cc(cc2O)O
"5,7-dihydroxy-4'-methoxy-3′-(3-hydroxy-3-methylbut-1-enyl)-5′-(3-methylbut-2-enyl)flavanone",-9.442,0.7481848932833214,True,0.82,CC(=CCc1cc(cc(c1O)CC=C(C)C)[C@@H]1CC(=O)c2c(O1)cc(cc2O)O)C
"5,7-dihydroxy-4'-methoxy-3'-(3-methylbutadienyl)-5'-(3-methylbut-2-enyl)flavanone",-9.39,0.708678132302734,True,0.640625,COc1c(CC=C(C)C)cc(cc1/C=C/C(=C)C)[C@@H]1CC(=O)c2c(O1)cc(cc2O)O
abyssinoflavone,-9.38,0.7393088277607694,True,0.6721311475409836,CC(=CCc1cc(cc(c1O)CC(C(=C)C)O)[C@@H]1CC(=O)c2c(O1)cc(cc2O)O)C
3'-prenylnaringenin,-9.363,0.6477937182860393,True,0.6792452830188679,CC(=CCc1cc(ccc1O)c1cc(=O)c2c(o1)cc(cc2O)O)C
chamanetin,-9.348,0.7596079119323091,True,0.5714285714285714,Oc1cc(O)c2c(c1Cc1ccccc1O)O[C@@H](CC2=O)c1ccccc1
4'-O-methylsigmoidin,-9.31,0.7110459479851332,True,0.7454545454545455,COc1c(O)cc(cc1CC=C(C)C)C1CC(=O)c2c(O1)cc(cc2O)O
macarangin,-9.196,0.7221870240633567,True,0.6825396825396826,C/C(=C\Cc1c(O)cc2c(c1O)c(=O)c(c(o2)c1ccc(cc1)O)O)/CCC=C(C)C
"(2S)-5,7-dimethoxy-8-(3-methylbut-1,3-dienyl)flavanone",-9.103,0.7069978726253723,True,0.6545454545454545,COc1cc(O)c2c(c1/C=C/C(=C)C)O[C@@H](CC2=O)c1ccccc1
veprisiniol,-9.094,0.5962003460121766,True,0.6610169491525424,OCC(CCOc1cc2OC(CC(=O)c2c(c1)O)c1ccc(c(c1)O)OC)C
phaseollidin,-8.976,0.5530357791251267,True,0.5,CC(=CCc1c(O)ccc2c1O[C@@H]1[C@H]2COc2c1ccc(c2)O)C
"(2S)-5,7-dimethoxy-8-(3-hydroxy-3-methylbut-1Z-enyl)flavanone",-8.829,0.677516185302803,True,0.5517241379310345,COc1cc(OC)c2c(c1/C=C/C(O)(C)C)OC(CC2=O)c1ccccc1
isobavachalcone,-8.494,0.7325683678818532,True,1.0,CC(=CCc1c(O)ccc(c1O)C(=O)/C=C/c1ccc(cc1)O)C
"3',4',5,7-tetrahydroxy-3,6-dimethoxyflavone",-8.414,0.566594221266395,True,0.6101694915254238,COc1c(O)cc2c(c1O)c(=O)c(c(o2)c1ccc(c(c1)O)O)OC
(2S)-7-hydroxy-5-methoxy-8-prenylflavanone,-8.405,0.6667515504460648,True,0.7192982456140351,COc1cc(O)c(c2c1C(=O)C[C@H](O2)c1ccccc1)CC=C(C)C
matairesinol,-8.37,0.76,True,0.5416666666666666,COc1cc(ccc1O)C[C@H]1C(=O)OC[C@@H]1Cc1ccc(c(c1)OC)O
pinocembrin,-8.315,0.7716657154904079,True,1.0,Oc1cc2O[C@@H](CC(=O)c2c(c1)O)c1ccccc1
demethoxymatteucinol,-8.31,0.6298422699103585,True,0.75,Cc1c2O[C@@H](CC(=O)c2c(c(c1O)C)O)c1ccccc1
tetramethylscutellarein,-8.287,0.5398152215686642,True,0.5,COc1ccc(cc1)c1cc(=O)c2c(o1)cc(c(c2OC)OC)OC
7-O-methylaromadendrin,-8.271,0.6198380325804237,True,0.5416666666666666,COc1cc2O[C@H](c3ccc(cc3)O)[C@H](C(=O)c2c(c1)O)O
chrysin,-8.231,0.9773096719091948,True,1.0,Oc1cc(O)c2c(c1)oc(cc2=O)c1ccccc1
lawinal,-8.196,0.7876552458470018,True,0.64,O=Cc1c2O[C@@H](CC(=O)c2c(c(c1O)C)O)c1ccccc1
"7-hydroxy-4',5,6,8-tetramethoxyflavanone",-8.128,0.5016488702185573,True,0.5576923076923077,COc1ccc(cc1)C1CC(=O)c2c(O1)c(OC)c(c(c2OC)OC)O
6-methoxytecleanthine,-8.098,0.6505152722979344,True,0.5,COc1ccc2c(c1OC)n(C)c1c(c2=O)c(OC)c2c(c1)OCO2
"5,3',4'-trihydroxy-7-methoxyflavanone",-7.985,0.7430362023000745,True,0.75,COc1cc2OC(CC(=O)c2c(c1)O)c1ccc(c(c1)O)O
5-hydroxy-7-methoxyflavanone,-7.94,0.5284059403695952,True,0.7441860465116279,COc1cc2OC(CC(=O)c2c(c1)O)c1ccccc1
7-hydroxy-5-methoxyflavanone,-7.919,0.5162068231275618,True,0.7045454545454546,COc1cc(O)cc2c1C(=O)CC(O2)c1ccccc1
acetyl,-7.871,0.5146923041397965,True,0.5142857142857142,CC(=O)O[C@H]1CC[C@]2([C@H](C1(C)C)CC[C@@]1([C@@H]2CC[C@@]2(C1=CC[C@@]1([C@H]2CC(C)(C)CC1)C(=O)O)C)C)C
"5,7-dihydroxy-2',3',4',5'-tetramethoxyflavone",-7.868,0.5934842537383211,True,0.5,COc1cc(c2cc(=O)c3c(o2)cc(cc3O)O)c(c(c1OC)OC)OC
medicarpan,-7.786,0.5459507459152262,True,0.6,COc1ccc2c(c1)O[C@H]1[C@@H]2COc2c1ccc(c2)O
"5,7,4'-trihydroxy-2',3',5'-trimethoxyflavone",-7.746,0.5696964544486132,True,0.5,COc1cc(c2cc(=O)c3c(o2)cc(cc3O)O)c(c(c1O)OC)OC
"4',5,7-trihydroxy-3',3,6-trimethoxyflavone",-7.717,0.5075638403405381,True,0.515625,COc1cc(ccc1O)c1oc2cc(O)c(c(c2c(=O)c1OC)O)OC
hesperetin,-7.641,0.6603523719559503,True,1.0,COc1ccc(cc1O)[C@@H]1CC(=O)c2c(O1)cc(cc2O)O
beta-amyrin,-7.475,0.5646923041397964,True,0.6212121212121212,CC(=O)OC1CCC2(C(C1(C)C)CCC1(C2CC=C2C1(C)CCC1(C2CC(C)(C)CC1)C)C)C
eryvarin,-7.473,0.6283311356742904,True,0.5490196078431373,COc1cc(O)c(cc1c1oc2c(c1)ccc(c2)O)OC
"(2alpha,3beta)-dihydroxyurs-12-en-28-oic",-7.431,0.5239206262593281,True,0.5384615384615384,O[C@@H]1C[C@@]2(C)[C@H](C([C@H]1O)(C)C)CC[C@@]1([C@@H]2CC=C2[C@@]1(C)CC[C@@]1([C@H]2CC(C)(C)CC1)C(=O)O)C
"6,6'-dihydroxy-4'-methoxy-2-arylbenzofuran",-7.269,0.5022143443005064,True,0.5128205128205128,COc1ccc(c(c1)O)c1cc2c(o1)cc(cc2)O
