canonical_smiles,standard_type,standard_relation,standard_value,standard_units,pchembl_value,assay_type,target_organism,assay_chembl_id
COc1ccc(C(=O)COc2ccc([N+](C)(C)Cc3ccccc3)cc2)cc1OC.[Br-],IC50,=,10000.0,nM,5.00,B,Homo sapiens,CHEMBL645004
[Br-].[Br-].c1ccc2c[n+](CCCCCCCCCCC[n+]3ccc4ccccc4c3)ccc2c1,IC50,=,100.0,nM,7.00,B,Homo sapiens,CHEMBL1671581
CCC1=CC2Cc3nc4ccccc4c(N)c3C(C1)C2.Cl,IC50,=,37.8,nM,7.42,B,Homo sapiens,CHEMBL642883
COc1cc2c(cc1OC)C(=O)C1(C2)C(c2ccccc2Cl)C(c2ccccc2)NC12C(=O)Nc1ccc([N+](=O)[O-])cc12,IC50,=,4200.0,nM,5.38,B,Homo sapiens,CHEMBL1293120
Cc1ccc2nc3c(c(N)c2c1)CCCC3,IC50,=,8100.0,nM,5.09,B,Homo sapiens,CHEMBL644101
Cl.O/N=C/C1=NCCCN1Cc1cc(C(F)(F)F)cc(C(F)(F)F)c1,IC50,=,45000.0,nM,4.35,B,Homo sapiens,CHEMBL1954098
COc1ccc2c3c([nH]c2c1)C(C)=NCC3,IC50,=,23700.0,nM,4.62,B,Homo sapiens,CHEMBL2020014
Cl.O=C(NCCCCCCCCCCNc1c2c(nc3ccccc13)CCCC2)c1cc(=O)c2ccccc2o1,IC50,=,17.5,nM,7.76,B,Homo sapiens,CHEMBL2020732
CN1CC[C@@]2(C)c3cc(OC(=O)Nc4ccccc4)ccc3N(C)[C@H]2O1,IC50,=,130.0,nM,6.89,B,Homo sapiens,CHEMBL644832
CCC/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)cc21,IC50,=,3840.0,nM,5.42,B,Homo sapiens,CHEMBL643373
O=C1Cc2cc3onc(CCC4CCN(Cc5ccccc5)CC4)c3cc2N1,IC50,=,0.95,nM,9.02,B,Homo sapiens,CHEMBL644837
CC(C)N(CCNC(=O)N1c2ccccc2Sc2ccccc21)C(C)C,Ki,=,810.0,nM,6.09,B,Homo sapiens,CHEMBL1068998
c1ccc(-c2ccc(NCCN3CCCCC3)nn2)cc1,IC50,=,13000.0,nM,4.89,B,Homo sapiens,CHEMBL1119333
COc1cc(CCC(=O)NCCC(=O)NNc2c3c(nc4ccccc24)CCCC3)cc(OC)c1OC,IC50,=,135.0,nM,6.87,B,Homo sapiens,CHEMBL912241
COc1ccc2c(c1OC)CC(C)C2=O,IC50,=,380.0,nM,6.42,B,Homo sapiens,CHEMBL643383
Clc1ccc(CO/N=C(\Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,IC50,=,4646.5,nM,5.33,B,Homo sapiens,CHEMBL1909212
CNC(=O)Oc1cccc(CN(C)CCCOc2ccc(C(=O)c3ccccc3)cc2)c1.Cl,IC50,=,5.4,nM,8.27,B,Homo sapiens,CHEMBL644104
COCC[N+]1(C)CCCC(C(=O)c2cc3cc(OC)c(OC)cc3s2)CC1,IC50,=,53.0,nM,7.28,B,Homo sapiens,CHEMBL832763
CCN(CCCCCC(=O)N1CCC(CCC2CCN(C(=O)CCCCCN(CC)Cc3ccccc3OC)CC2)CC1)Cc1ccccc1OC.O=C(O)C(=O)O,IC50,=,7.413,nM,8.13,B,Homo sapiens,CHEMBL917209
CCN(CCCCCCNC1=C(F)C(=O)C(NCCCCCCN(CC)Cc2ccccc2OC)=C(F)C1=O)Cc1ccccc1OC,IC50,=,5.17,nM,8.29,B,Homo sapiens,CHEMBL895407
COc1ccc(C2C(c3ccccc3)NC3(C(=O)Nc4ccc([N+](=O)[O-])cc43)C23Cc2cc(OC)c(OC)cc2C3=O)cc1OC,IC50,=,15370.0,nM,4.81,B,Homo sapiens,CHEMBL1293120
Cc1ccc(F)cc1,IC50,=,4900.0,nM,5.31,B,Homo sapiens,CHEMBL643382
CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)C1N2Cc1ccccc1,IC50,=,161.0,nM,6.79,B,Homo sapiens,CHEMBL644099
CCCCNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(CC)C1C2,IC50,=,90.0,nM,7.05,B,Homo sapiens,CHEMBL645003
CC1=CC2Cc3nc4oc(C)c(C)c4c(N)c3C(C1)C2,IC50,=,4780.0,nM,5.32,B,Homo sapiens,CHEMBL1041236
CN1CCC(/C=C2\Cc3ccccc3C2=O)CC1,IC50,=,8.4,nM,8.08,B,Homo sapiens,CHEMBL643386
O=C(CC1S/C(=N/c2ccc(C3CCCCC3)cc2)NC1=O)Nc1ccc(OC(F)(F)F)cc1,IC50,=,2900.0,nM,5.54,B,Homo sapiens,CHEMBL1119333
C#CCCCC[n+]1cn(C)c(/C=N/O)n1.[Cl-],IC50,=,62500.0,nM,4.20,B,Homo sapiens,CHEMBL644117
CCCCC1=NC2(CCCC2)C(=O)N1Cc1ccc([N+](=O)[O-])cc1,IC50,=,135.4,nM,6.87,B,Homo sapiens,CHEMBL899128
CC1Cc2ccc(F)cc2C1=O,IC50,=,380.0,nM,6.42,B,Homo sapiens,CHEMBL643383
CC1=C[C@H]2Cc3nc4cc(Cl)ccc4c(NCCCCCCCNc4c5c(nc6ccccc46)CCCC5)c3[C@@H](C1)C2.Cl.Cl.Cl,IC50,=,6.84,nM,8.16,B,Homo sapiens,CHEMBL2015198
CC(C)(C)c1cc[n+](C/C=C\C[n+]2ccc(C(C)(C)C)cc2)cc1.[Cl-].[Cl-],IC50,=,2000.0,nM,5.70,B,Homo sapiens,CHEMBL1646125
COc1cccc(CN(C)CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCN(C)Cc2cccc(OC)c2)c1,IC50,=,676.08,nM,6.17,B,Homo sapiens,CHEMBL638449
COc1ccccc1CNCCCCCCNCCCCCNCCCCCCNCc1ccccc1OC,IC50,=,7244.36,nM,5.14,B,Homo sapiens,CHEMBL638603
CC1=CC2Cc3nc4cc(Cl)ccc4c(NCCO)c3C(C1)C2,IC50,=,9.66,nM,8.02,B,Homo sapiens,CHEMBL1041236
c1ccc2c(NCCCCCCCCNc3c4c(nc5ccccc35)CCCCC4)c3c(nc2c1)CCCCC3,IC50,=,1.6,nM,8.80,B,Homo sapiens,CHEMBL1119333
CNC(=O)Oc1cccc(CN(C)CCCOc2ccc3ccccc3c2)c1.Cl,IC50,=,82.6,nM,7.08,B,Homo sapiens,CHEMBL644104
O=C(CCOCCc1c[nH]c2ccccc12)NCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,IC50,=,1.5,nM,8.82,B,Homo sapiens,CHEMBL1119333
COc1ccc(CN(C)CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCN(C)Cc2ccc(OC)cc2)cc1,IC50,=,5754.4,nM,5.24,B,Homo sapiens,CHEMBL638449
CCCCC1=NC2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2C(=O)OC(C)(C)C)cc1,IC50,=,268.8,nM,6.57,B,Homo sapiens,CHEMBL899128
CC1=CC2Cc3nc4oc(C5CC5)nc4c(N)c3C(C1)C2,IC50,=,50000.0,nM,4.30,B,Homo sapiens,CHEMBL1041236
COc1cc(C)cc(OC)c1OC,IC50,=,4900.0,nM,5.31,B,Homo sapiens,CHEMBL643382
CN1C[C@H](CNC(=O)OCc2ccccc2)C[C@@H]2c3cccc4c3c(cn4C)C[C@H]21,IC50,=,1344.0,nM,5.87,B,Homo sapiens,CHEMBL1909212
