canonical_smiles,standard_type,standard_relation,standard_value,standard_units,pchembl_value,assay_type,target_organism,assay_chembl_id
Cc1ccc(NC(=O)Oc2ccc3c(c2)[C@]2(C)CCN(C)[C@@H]2N3C)cc1,IC50,=,140.0,nM,6.85,B,Homo sapiens,CHEMBL644628
Clc1cccc(CNc2ccnc(NC3CCN(Cc4ccccc4)CC3)n2)c1,IC50,=,7700.0,nM,5.11,B,Homo sapiens,CHEMBL2050824
CNC(=O)Oc1cccc(CN(C)CCCCCCCCCCOc2ccc3c(=O)c4ccccc4oc3c2)c1.Cl,IC50,=,21.8,nM,7.66,B,Homo sapiens,CHEMBL644104
CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)c1ccccc1,IC50,=,1400.0,nM,5.85,B,Homo sapiens,CHEMBL643384
C#CCC(CCC)OC[n+]1ccn(C)c1/C=N/O.[Cl-],IC50,=,5210.0,nM,5.28,B,Homo sapiens,CHEMBL644118
CCN(CCCCCC(=O)N1Cc2ccc3c4c(ccc(c24)C1)CN(C(=O)CCCCCN(CC)Cc1ccccc1OC)C3)Cc1ccccc1OC,IC50,=,4.83,nM,8.32,B,Homo sapiens,CHEMBL948464
C[N+]1(Cc2ccccc2)CCC(CCC(=O)c2ccc3c(c2)CCO3)CC1,IC50,=,17.0,nM,7.77,B,Homo sapiens,CHEMBL644119
CCCCCCNC(=O)Oc1cccc(CN(C)CCCOc2ccc3c(=O)c4cccnc4oc3c2)c1,IC50,=,42.0,nM,7.38,B,Homo sapiens,CHEMBL1119333
COc1ccc2[nH]c3c(C)[n+](C)ccc3c2c1,IC50,=,800.0,nM,6.10,B,Homo sapiens,CHEMBL911302
CN(CCCCCNc1ccc(-c2ccccc2)nn1)Cc1ccccc1.Cl,IC50,=,930.0,nM,6.03,B,Homo sapiens,CHEMBL644627
CCN(C)C(=O)Oc1ccc2c(c1)CC(N)CC2,IC50,=,79600.0,nM,4.10,B,Homo sapiens,CHEMBL640425
CCOC(=O)C1=C(C)Nc2nc3c(c(N)c2C1c1cccc(OC)c1)CCCC3,IC50,=,58.0,nM,7.24,B,Homo sapiens,CHEMBL913362
CCN(CCCCCCNc1ccc(NCCCCCCN(CC)Cc2ccccc2OC)cc1)Cc1ccccc1OC,IC50,=,42.5,nM,7.37,B,Homo sapiens,CHEMBL895407
CC(C)C1=N[C@H]2CC[C@]34C[C@]35C(=O)C[C@]3(C)[C@@H]([C@H](C)N(C)CCCN6C(=O)c7ccccc7C6=O)[C@H](O)C[C@@]3(C)[C@@H]5CC[C@H]4[C@]2(C)CS1,IC50,=,14.0,nM,7.85,B,Homo sapiens,CHEMBL1785400
COc1cc2cc(C(=O)CCc3cc[n+](CC4CCC4)cc3)sc2cc1OC.[Br-],IC50,=,40.0,nM,7.40,B,Homo sapiens,CHEMBL644831
Cn1cc[n+](COC[n+]2ccn(C)c2/C=N/O)c1/C=N/O,IC50,=,7800.0,nM,5.11,B,Homo sapiens,CHEMBL644116
CC(C)C1=N[C@H]2CC[C@]34C[C@]35C(=O)C[C@]3(C)[C@@H]([C@H](C)N(C)C)[C@H](O)C[C@@]3(C)[C@@H]5CC[C@H]4[C@]2(C)CN1,IC50,=,3108.0,nM,5.51,B,Homo sapiens,CHEMBL900444
COc1cc(CNCCCNC2=CC(=O)C(NCCCNCc3ccc(O)c(OC)c3)=CC2=O)ccc1O,IC50,=,198.0,nM,6.70,B,Homo sapiens,CHEMBL1771988
CC(=O)Nc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1,IC50,=,2.799,nM,8.55,B,Homo sapiens,CHEMBL641020
