Dataset,AUC,Accuracy,Precision,Recall,F1,MCC,R2,RMSE,MAE
Training,0.9496358272855427,0.8962108731466227,0.9028697571743929,0.955607476635514,0.9284903518728718,0.973043564856123,0.45261622884014474,1.1037063419455482,0.6438875440918773
Holdout,0.9511772008191068,0.8550488599348535,0.7838541666666666,0.9804560260586319,0.8712011577424024,0.7335453415542504,0.7914310271019185,0.6502500418116038,0.3591133608584733
External (ChEMBL),0.5563423645320197,0.455,0.6521739130434783,0.12931034482758622,0.21582733812949645,0.05271314096679185,-0.6935730437674352,1.7237755865072601,1.3909028444275089
