canonical_smiles,count,mean,std,min,max
Brc1ccc2c(c1)CC/C2=C/c1cccnc1,3,4.132688341524582,1.731780903159112,2.1330000002918488,5.132532512140949
Brc1ccc2c(c1)CC/C2=C/c1ccncc1,3,4.4242752991040595,1.7516546996317017,2.4020000002799446,5.468521082957745
Brc1ccc2c(c1)CC/C2=C\c1cccnc1,3,4.106158825251504,1.7321883543836798,2.1059999998703995,5.106238237942057
Brc1ccc2c(c1)CC/C2=C\c1ccncc1,3,4.127072860555565,1.5246212821306138,2.468999999476236,5.468521082957745
C#CC[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,2,6.6251318422154695,0.8840699295323946,6.0,7.250263684430939
C(=C(c1ccccc1)c1ccccc1)c1cccnc1,3,4.436081851956217,1.7338562893623155,2.433999999578282,5.440093374963888
C(=C1/CCCc2ccccc21)\c1cccnc1,3,4.421240526677908,1.732259109808329,2.420999999969867,5.421360790031928
C(=C1/CCc2ccccc21)\c1cccnc1,3,4.449847764725237,1.7319189677059847,2.450000000285898,5.449771646944906
C(=C1/CCc2ccccc21)\c1ccncc1,3,3.8951143975661235,1.7321498787623504,1.895000000005682,4.895171596346344
C(=C1\CC(c2ccccc2)c2ccccc21)\c1cccnc1,3,4.391315977674049,1.7323244521087495,2.391000000176534,5.391473966422806
C(=C1\CCCc2ccccc21)\c1cccnc1,3,4.1818494043355985,1.7319203876945435,2.1820000002347077,5.181774106386045
C(=C1\CCCc2ccccc21)\c1ccncc1,3,5.187057762314493,1.732100831002126,3.1870000002291885,6.187086643357144
C(=C1\CCc2ccccc21)\c1cccnc1,3,4.690246555380483,1.732264329931638,2.690000000993247,5.690369832574101
C(=C1\CCc2ccccc21)\c1ccncc1,3,4.173950131622795,1.7320076200535117,2.174000000270039,5.173925197299173
C(=C1c2ccccc2-c2ccccc21)c1cccnc1,3,4.317903282552844,1.7319670474508755,2.318000000406195,5.317854923626168
C(=C1c2ccccc2-c2ccccc21)c1ccncc1,3,4.562166291554874,1.7321948200153514,2.562000000305397,5.562249437179612
C(\Cn1ccnc1)=C1/CCCc2occc21,2,5.420818753952375,0.28138607863743126,5.221848749616356,5.619788758288394
C(\Cn1ccnc1)=C1/CCCc2sccc21,2,5.4089353929735005,0.0,5.4089353929735005,5.4089353929735005
C(\Cn1ccnc1)=C1\CCCc2occc21,2,5.619894643379946,0.00014974413252668436,5.619788758288394,5.620000528471499
C(\Cn1ccnc1)=C1\CCCc2sccc21,3,6.167327255156195,0.00028376558618004754,6.16699959088106,6.167491087293763
C1=C(CCCn2ccnc2)c2cccnc2CC1,3,6.657715569779416,0.00023945706618694023,6.657577319177793,6.657992070982661
C1=C(CCn2ccnc2)c2cccnc2CC1,4,6.3010234814421775,1.3028443607510098e-05,6.301003938776766,6.301029995663981
C1=C(Cn2ccnc2)c2cccnc2CC1,4,6.53325551541074,0.47289789937972054,5.823908740944319,6.770011163455189
C1=C(c2cccnc2)CCc2ccccc21,2,6.890085589914003,2.121320343559643,5.390085589914002,8.390085589914003
C1=NC=NC1CC(Cc1ccccc1)c1ccccc1,2,3.8244999771175605,0.7389265571063077,3.3019999977888617,4.346999956446259
C=C(c1ccc(C#N)cc1)n1ccnc1,4,8.961199521674576,0.38748761561685935,8.379968104873702,9.155026061853112
C=C1C[C@@H]2[C@H](CC[C@]3(C)C(=O)CC[C@@H]23)[C@@]2(C)C=CC(=O)C=C12,8,7.177397021668623,0.571313494594291,6.045757490560675,7.823908740944319
C=C1C[C@@H]2[C@H](CC[C@]3(C)C(=O)CC[C@@H]23)[C@]2(C)C1=CC(=O)[C@@H]1O[C@@H]12,2,6.009816486907614,0.11553911854252809,5.928117992693875,6.091514981121351
C=C1C[C@@]2(C)C(=CC1=O)CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,2,6.259819000551894,0.0002569485273965451,6.259637310505756,6.260000690598032
C=C1C[C@H]2[C@@H]3CC[C@H](O)[C@@]3(C)CC[C@@H]2[C@@]2(C)C=CC(=O)C=C12,2,6.801029995663981,0.28138607863743126,6.6020599913279625,7.0
C=CCN1C(=O)C2CC2(c2ccc(N)cc2)C1=O,3,6.1033010662094,0.08946136134702,6.0,6.155001238642457
C=CC[C@@H]1CC2=CC(=O)C=C[C@]2(C)[C@H]2CC[C@]3(C)C(=O)CC[C@H]3[C@H]12,4,6.327902142064283,0.0,6.327902142064283,6.327902142064283
CC(=O)N1CCN(c2ccc(/C=C/c3cc(F)cc(-c4ccncc4)c3)cc2)CC1,2,5.0,0.0,5.0,5.0
CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,13,5.5869160941858915,1.036649735366125,3.958607314841775,7.397940008672037
CC(=O)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,4,5.755573940940663,0.1999321687473105,5.585026652029182,6.021600336101002
CC(=O)OC1=C2CC[C@@H]3[C@H](CC[C@]4(C)C(=O)CC[C@@H]34)[C@@]2(C)CCC1,2,6.180229165473678,0.0003208836211039125,6.180002266489224,6.180456064458132
CC(=O)OC1=C2CC[C@@H]3[C@H](CC[C@]4(C)C(=O)CC[C@@H]34)[C@@]2(CO)CCC1,2,5.443848951918825,0.00021418644275797086,5.443697499232712,5.444000404604937
CC(=O)O[C@@H]1CCC[C@@]2(C)C1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,2,6.1549515993141,7.020061138971561e-05,6.154901959985743,6.155001238642457
CC(=O)O[C@H]1CCC[C@@]2(C)C1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,2,6.0,0.0,6.0,6.0
CC(=O)Oc1cc(/C=C/c2ccc(N)cc2)cc(OC(C)=O)c1,2,5.53982648785732,0.011559524653067742,5.531652669587842,5.548000306126797
CC(C(=O)OC12CC3CC(CC(C3)C1)C2)c1cccnc1,2,5.040979368902082,2.9360803387208396e-05,5.040958607678906,5.0410001301252585
CC(C(=O)OC1CCCCC1)c1ccncc1,2,5.677890340593233,0.00015504776657564542,5.6777807052660805,5.677999975920387
CC(C)(C#N)c1cc(/C=C/c2ccc(OS(N)(=O)=O)cc2)cc(Cn2cncn2)c1,2,7.593204502380897,0.0003610730259426537,7.592949185195749,7.5934598195660445
CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1,11,8.081426737948252,0.7355772538275867,6.221848749616356,8.823908740944319
