Feature,Mean_Abs_SHAP_Impact
Bit_932,0.022264653813892563
Bit_843,0.01769331490880637
Bit_1101,0.015753751397855432
Bit_1654,0.01424876145366913
Bit_1603,0.011841768910646058
Bit_758,0.010825750320348762
Bit_61,0.010724512311499538
Bit_935,0.010119705502375677
Bit_239,0.008171009457582902
Bit_674,0.007542383640463067
Bit_790,0.007298076221529804
Bit_1917,0.007104203303490384
Bit_529,0.0062201852763829855
Bit_121,0.005683996009973445
Bit_1384,0.0056122291786899325
Bit_967,0.005158004427095553
Bit_1954,0.005153875715127195
Bit_1164,0.005067310313078605
Bit_378,0.004919450341282193
Bit_807,0.004738154330463726
Bit_1325,0.0047282929239723295
Bit_1136,0.004694745136909364
Bit_1884,0.004442764508749061
Bit_561,0.0043170334642170195
Bit_1765,0.004179773156413891
Bit_1855,0.004094134061222745
Bit_494,0.004024468425097967
Bit_314,0.003880458544403834
Bit_305,0.0038400444466337434
Bit_216,0.003605446579224221
Bit_1793,0.003481432105161729
Bit_651,0.0033911867457434804
Bit_519,0.0032748338271810975
Bit_339,0.0032696820442197987
Bit_1866,0.003238978851339826
Bit_489,0.003187553184684419
Bit_1236,0.0031753682896956763
Bit_1070,0.0031577156339146293
Bit_1930,0.0031503375763974164
Bit_1199,0.0030902203972994584
Bit_1968,0.0030437472899150467
Bit_1332,0.002964215386538349
Bit_2033,0.0029060823889177313
Bit_1463,0.0028155402026769816
Bit_1171,0.0027919052284614
Bit_875,0.0027645503254031607
Bit_352,0.0027529123378770373
Bit_695,0.002748065294551647
Bit_1605,0.0027424655189577526
Bit_80,0.002617855959172649
