Model,CV_R2,CV_RMSE,CV_MAE,Test_R2,Test_RMSE,Test_MAE
Baseline (2048 features),0.5622064620657652,0.9183408442636953,0.6076201543841314,0.652301103076188,0.8069558522642023,0.5686658235705551
TopK (512 features),0.5342046674129876,0.9452070875467228,0.6271106719644355,0.6140728829423374,0.8501601941097827,0.6063885951898831
