Model,CV_ROC_AUC,CV_PR_AUC,Test_ROC_AUC,Test_PR_AUC,Test_Accuracy,Test_MCC
Baseline (2048 features),0.9308834521553819,0.9611653476266444,0.94880044901582,0.9691489079088832,0.9011532125205931,0.7561006325228854
TopK (512 features),0.9252687695670151,0.9560286614954355,0.9483109695609044,0.9715737212934448,0.8945634266886326,0.7393859015176631
